time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
2019.3,-0.011168232704402516,93.001419,0.061193,76.007747,68.286449,4.025157232704403e-06
2035.2,0.007445415094339622,92.988243,0.08042,75.946709,68.103335,-1.2955974842767294e-06
2051.1,0.007606924528301888,91.815019,0.077979,75.977228,67.187766,-1.8176100628930815e-06
2067.0,-0.0038697421383647804,92.991884,0.066687,75.977228,67.889702,1.6981132075471698e-06
2082.9,0.0042640817610062895,93.001419,0.073401,75.946709,66.668943,-7.61006289308176e-07
2098.8,-0.0017974716981132082,93.001419,0.055395,75.916191,68.011778,1.106918238993711e-06
2114.7,-0.012324635220125786,93.001419,0.076453,75.916191,67.95074,4.044025157232705e-06
2130.6,0.013329301886792454,93.001419,0.065466,75.977228,67.035171,-3.20125786163522e-06
2146.5,0.0006793522012578625,92.982188,0.076453,75.946709,67.06569,4.0251572327044013e-07
2162.4,-0.0032986918238993713,91.869881,0.079199,75.916191,68.408525,1.3522012578616351e-06
2178.3,-0.003513767295597484,91.869881,0.063329,75.855153,66.943614,1.5157232704402516e-06
2194.2,-0.0029010000000000004,91.81867,0.137185,75.763596,68.133854,1.6163522012578614e-06
2210.1,0.00888491823899371,91.737851,0.059057,75.580482,69.385132,-2.0251572327044027e-06
2226.0,-0.0020025849056603774,91.92821,0.081641,75.672039,71.429902,4.339622641509434e-07
2241.9,-0.008516169811320754,92.068857,0.060278,75.64152,72.711699,3.7169811320754722e-06
2257.8,-0.025471484276729562,92.908598,0.066992,75.672039,74.75647,2.358490566037736e-06
2273.7,0.025549685534591197,90.916334,0.079505,75.794115,71.368864,-1.754716981132075e-06
2289.6,0.0025945849056603766,90.942608,0.089881,75.763596,73.108446,-1.5283018867924528e-06
2305.5,0.004201748427672956,91.843576,0.063024,75.794115,68.042297,3.647798742138368e-07
2321.4,-0.012202503144654089,92.923465,0.057226,75.855153,70.941599,3.477987421383648e-06
2337.3,0.007793937106918239,91.728566,0.074316,75.885672,67.676069,-1.4779874213836476e-06
2353.2,0.002418716981132076,91.793394,0.077368,75.824634,68.744233,-4.968553459119499e-07
2369.1,-0.0018486289308176102,92.921967,0.068823,75.763596,69.751359,1.8490566037735848e-06
2385.0,0.005583276729559748,91.769569,0.065466,75.885672,68.011778,-1.270440251572327e-06
2400.9,-0.001232685534591195,91.710977,0.068823,75.824634,68.286449,8.553459119496857e-07
2416.8,-0.010452490566037736,91.994584,0.080725,75.824634,68.072816,3.1823899371069185e-06
2432.7,0.013371081761006287,91.809021,0.076147,75.885672,70.087068,-2.9685534591194965e-06
2448.6,-0.003177119496855345,91.779972,0.069128,75.824634,70.789004,9.371069182389936e-07
2464.5,-0.007572867924528302,91.87476,0.076758,75.763596,73.932458,2.930817610062893e-06
2480.4,-0.004642761006289306,91.898269,0.105446,75.733077,74.725951,1.440251572327044e-06
2496.3,0.011573767295597484,93.001419,0.06394,75.702558,76.740203,-1.9056603773584906e-06
2512.2,0.003763477987421384,91.884404,0.088355,75.733077,76.587608,-1.0503144654088052e-06
2528.1,-0.007658924528301886,91.854568,0.070044,75.672039,75.244773,2.8427672955974845e-06
2544.0,-0.007041773584905661,91.729324,0.074927,75.672039,71.429902,2.4716981132075474e-06
2559.9,0.010453459119496857,92.987327,0.074011,75.672039,73.505192,-2.018867924528302e-06
2575.8,0.004166182389937106,92.106835,0.06394,75.611001,75.763596,-1.1069182389937107e-06
2591.7,-0.006100402515723271,93.001419,0.116127,75.580482,74.878546,2.6352201257861633e-06
2607.6,-0.009338452830188679,91.780074,0.075232,75.549963,74.481799,2.012578616352201e-06
2623.5,0.0057041761006289314,92.872135,0.072485,75.549963,74.054534,-7.547169811320768e-08
2639.4,0.008600616352201258,91.864514,0.07157,75.611001,69.659802,-2.459119496855346e-06
2655.3,-0.0025019685534591195,91.864514,0.07218,75.64152,73.657787,1.358490566037736e-06
2671.2,-0.007600295597484277,91.925945,0.069433,75.519444,70.056549,2.654088050314466e-06
2687.1,0.008555798742138365,91.925945,0.064245,75.64152,75.244773,-2.270440251572327e-06
2703.0,0.0019779999999999997,92.137612,0.061193,75.611001,70.575371,-1.2578616352201362e-08
2718.9,-0.006972528301886791,91.925945,0.11979,75.733077,75.977228,2.5157232704402515e-06
2734.8,-0.0005799496855345916,91.729324,0.060583,75.702558,71.338345,8.427672955974845e-07
2750.7,0.0041219245283018865,92.924556,0.087745,75.702558,74.878546,-6.289308176100627e-07
2766.6,-0.00014602515723270468,91.83569,0.065771,75.763596,77.075911,1.069182389937107e-06
2782.5,-0.010984905660377358,91.729324,0.05631,75.763596,74.512318,2.6226415094339623e-06
2798.4,-0.002833616352201257,92.993589,0.065466,75.733077,75.672039,3.144654088050315e-07
2814.3,0.011872327044025159,92.106835,0.074927,75.763596,74.634394,-2.1257861635220124e-06
2830.2,-0.0018411194968553455,93.001419,0.062109,75.672039,74.420761,1.1383647798742138e-06
2846.1,0.0008177861635220129,91.849315,0.068518,75.763596,77.41162,3.270440251572327e-07
2862.0,-0.002078666666666668,91.822663,0.078284,75.702558,78.723936,1.3710691823899372e-06
2877.9,0.0031244905660377355,91.854144,0.061804,75.64152,74.115571,-1.6352201257861653e-07
2893.8,0.00036833333333333396,92.928744,0.154886,75.702558,74.603875,-2.830188679245284e-07
2909.7,-0.013400069182389937,91.854144,0.066992,75.672039,73.810382,4.018867924528302e-06
2925.6,0.005069534591194967,91.854144,0.080725,75.672039,75.305811,-4.1509433962264144e-07
2941.5,0.00995723899371069,93.001419,0.083777,75.733077,73.993496,-2.4528301886792457e-06
2957.4,-0.0009745534591194962,91.897536,0.078284,75.64152,73.779863,1.0188679245283019e-06
2973.3,-0.016174981132075474,91.874835,0.088355,75.672039,75.397368,4.157232704402516e-06
2989.2,0.012807490566037737,91.823942,0.086829,75.702558,75.153216,-2.0251572327044027e-06
